Date,Open,High,Low,Close,Adj Close,Volume
2023-06-12,100.0,101.1500015258789,96.93000030517578,97.19999694824219,97.19999694824219,284200
2023-06-13,99.97000122070312,105.55999755859375,99.86000061035156,99.87000274658203,99.87000274658203,225500
2023-06-14,101.87000274658203,101.87000274658203,96.48999786376953,98.51000213623047,98.51000213623047,129000
2023-06-15,98.47000122070312,105.58000183105469,98.47000122070312,104.9000015258789,104.9000015258789,163600
2023-06-16,106.12000274658203,106.12000274658203,101.48999786376953,101.55000305175781,101.55000305175781,283100
2023-06-20,100.44000244140625,100.80999755859375,97.87000274658203,98.37999725341797,98.37999725341797,118300
2023-06-21,97.91999816894531,103.79000091552734,97.7699966430664,101.4000015258789,101.4000015258789,232700
2023-06-22,99.36000061035156,99.36000061035156,94.2699966430664,95.87999725341797,95.87999725341797,181800
2023-06-23,93.36000061035156,94.4000015258789,90.68000030517578,93.83000183105469,93.83000183105469,286700
2023-06-26,94.37999725341797,97.18000030517578,93.55999755859375,94.30999755859375,94.30999755859375,190300
2023-06-27,94.16000366210938,97.0199966430664,93.19000244140625,95.7699966430664,95.7699966430664,138700
2023-06-28,95.44000244140625,95.44000244140625,92.0,94.16000366210938,94.16000366210938,202200
2023-06-29,94.20999908447266,96.91000366210938,93.0199966430664,93.8499984741211,93.8499984741211,186500
2023-06-30,95.11000061035156,96.11000061035156,92.94000244140625,93.02999877929688,93.02999877929688,189100
2023-07-03,93.5,96.01000213623047,93.45999908447266,94.62999725341797,94.62999725341797,136000
2023-07-05,95.11000061035156,95.37999725341797,91.33000183105469,91.55000305175781,91.55000305175781,239100
2023-07-06,90.2300033569336,92.52999877929688,87.58999633789062,90.2699966430664,90.2699966430664,225900
2023-07-07,89.7699966430664,99.20999908447266,89.7699966430664,97.87999725341797,97.87999725341797,307600
2023-07-10,97.0999984741211,99.68000030517578,96.04000091552734,97.80000305175781,97.80000305175781,179200
2023-07-11,98.91000366210938,106.0199966430664,98.06999969482422,104.41000366210938,104.41000366210938,252000
2023-07-12,107.3499984741211,111.08000183105469,106.06999969482422,108.66000366210938,108.66000366210938,441300
2023-07-13,109.08999633789062,112.0,107.9800033569336,111.04000091552734,111.04000091552734,379500
2023-07-14,110.30999755859375,111.0199966430664,105.94000244140625,108.41999816894531,108.41999816894531,283300
2023-07-17,106.88999938964844,110.4800033569336,106.61000061035156,110.12000274658203,110.12000274658203,195900
2023-07-18,111.05000305175781,116.73999786376953,111.05000305175781,112.29000091552734,112.29000091552734,335800
2023-07-19,114.93000030517578,117.12999725341797,112.93000030517578,114.04000091552734,114.04000091552734,291400
2023-07-20,114.54000091552734,115.55999755859375,111.69999694824219,115.2699966430664,115.2699966430664,209400
2023-07-21,115.25,115.88999938964844,113.18000030517578,114.4000015258789,114.4000015258789,183700
2023-07-24,116.0,120.29000091552734,115.0999984741211,118.5199966430664,118.5199966430664,262800
2023-07-25,118.4000015258789,119.87000274658203,116.37000274658203,117.2300033569336,117.2300033569336,214400
2023-07-26,112.04000091552734,122.56999969482422,111.0,120.9000015258789,120.9000015258789,457700
2023-07-27,122.0,123.30000305175781,119.52999877929688,119.80000305175781,119.80000305175781,364500
2023-07-28,119.52999877929688,120.0,117.16999816894531,119.87000274658203,119.87000274658203,182000
